Code,Product_Family,Variant,Length_mm,Width_mm,Height_mm,OD_mm,OD_Size_mm,Price_AED,Image_URL,Joule_J,item_id,slug
A-01-14-0037,FlexiShield Corner Guard,Black,,,1000.0,,,311.38,https://webcdn.asafe.com/media/8507/corner_guard_1156x556_02.jpg?height=278&v=1d6876cf48ce360&width=578,200.0,5e78907b4867,flexishield-corner-guard-black-a-01-14-0037
B-03-01-0020,Slider Plate,130 OD,,,,130.0,130.0,570.34,,,6e5646b876c1,slider-plate-130-od-b-03-01-0020
B-03-01-0021,Slider Plate,190 OD,,,,190.0,190.0,1150.66,,,68d3985b404c,slider-plate-190-od-b-03-01-0021
A-01-14-0040,FlexiShield Column Guard,100x100 mm,100.0,100.0,,,,2062.32,https://webcdn.asafe.com/media/6022/flexishieldcolumnguard_hero_1156x556_02.jpg?height=278&v=1d6876cf48ce360&width=578,1600.0,584626b45e29,flexishield-column-guard-100x100-mm-a-01-14-0040
A-01-14-0041,FlexiShield Column Guard,150x150 mm,150.0,150.0,,,,2307.55,https://webcdn.asafe.com/media/6022/flexishieldcolumnguard_hero_1156x556_02.jpg?height=278&v=1d6876cf48ce360&width=578,1600.0,5d70d8f29324,flexishield-column-guard-150x150-mm-a-01-14-0041
A-01-14-0042,FlexiShield Column Guard,200x200 mm,200.0,200.0,,,,2552.78,https://webcdn.asafe.com/media/6022/flexishieldcolumnguard_hero_1156x556_02.jpg?height=278&v=1d6876cf48ce360&width=578,1600.0,e47da9c88e7f,flexishield-column-guard-200x200-mm-a-01-14-0042
A-01-14-0043,FlexiShield Column Guard,250x250 mm,250.0,250.0,,,,2572.13,https://webcdn.asafe.com/media/6022/flexishieldcolumnguard_hero_1156x556_02.jpg?height=278&v=1d6876cf48ce360&width=578,1600.0,b2d66dd55f5d,flexishield-column-guard-250x250-mm-a-01-14-0043
A-01-14-0044,FlexiShield Column Guard,300x300 mm,300.0,300.0,,,,2817.67,https://webcdn.asafe.com/media/6022/flexishieldcolumnguard_hero_1156x556_02.jpg?height=278&v=1d6876cf48ce360&width=578,1600.0,68a9c396f507,flexishield-column-guard-300x300-mm-a-01-14-0044
A-01-14-0045,FlexiShield Column Guard,350x350 mm,350.0,350.0,,,,3035.76,https://webcdn.asafe.com/media/6022/flexishieldcolumnguard_hero_1156x556_02.jpg?height=278&v=1d6876cf48ce360&width=578,1600.0,3a7938dc64b1,flexishield-column-guard-350x350-mm-a-01-14-0045
A-01-14-0046,FlexiShield Column Guard,400x400 mm,400.0,400.0,,,,3082.56,https://webcdn.asafe.com/media/6022/flexishieldcolumnguard_hero_1156x556_02.jpg?height=278&v=1d6876cf48ce360&width=578,1600.0,b9688e3eff57,flexishield-column-guard-400x400-mm-a-01-14-0046
A-01-14-0047,FlexiShield Column Guard,450x450 mm,450.0,450.0,,,,3300.34,https://webcdn.asafe.com/media/6022/flexishieldcolumnguard_hero_1156x556_02.jpg?height=278&v=1d6876cf48ce360&width=578,1600.0,6e6808046fca,flexishield-column-guard-450x450-mm-a-01-14-0047
